[2026-02-05 14:28:43] [DOWODCA] START
[2026-02-05 14:28:43] [OPERATOR] START
[2026-02-05 14:28:43] [DRON 3171827] START | T1=10s T2=25s T_return=5s drain=4%/s
[2026-02-05 14:28:43] [DRON 3171770] START | T1=37s T2=92s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171771] START | T1=32s T2=80s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171766] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171806] START | T1=40s T2=100s T_return=20s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171839] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171858] START | T1=9s T2=22s T_return=4s drain=4%/s
[2026-02-05 14:28:43] [DRON 3171856] START | T1=28s T2=70s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171826] START | T1=14s T2=35s T_return=7s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171835] START | T1=39s T2=97s T_return=19s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171823] START | T1=29s T2=72s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171833] START | T1=16s T2=40s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171809] START | T1=27s T2=67s T_return=13s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171805] START | T1=35s T2=87s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171784] START | T1=36s T2=90s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171860] START | T1=32s T2=80s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171865] START | T1=39s T2=97s T_return=19s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171857] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171872] START | T1=16s T2=40s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171866] START | T1=10s T2=25s T_return=5s drain=4%/s
[2026-02-05 14:28:43] [DRON 3171829] START | T1=25s T2=62s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171873] START | T1=27s T2=67s T_return=13s drain=1%/s
